1,"NO NAME",sari_sari,"T.OPPUS ST.","","","","","",0,,0,0,,"",1,,"2026-06-13 07:12:48.600891","2026-06-13 07:12:48.600917",118
2,xxxx,sari_sari,xxxxxx,"","","","","",1,,0,0,,"",0,2026-03-02,"2026-06-15 03:48:38.720405","2026-06-29 09:42:41.674256",77
3,"AMPIL PENSIONE",both,"T.OPPUS ST.","","","","",24,0,,1,1,,"",1,,"2026-06-29 06:42:44.988050","2026-06-29 06:42:44.988075",37
