1,101,-0.01,owned,"2025-12-25 01:28:43.632902","2026-03-04 02:07:29.974269",4
2,001A,0,owned,"2026-04-01 11:37:52.376980","2026-06-29 08:46:28.544498",13
3,002A,0,owned,"2026-04-01 11:58:00.199315","2026-06-29 07:03:44.330344",17
4,023,,owned,"2026-06-13 07:23:28.917211","2026-06-29 09:23:09.111896",72
7,007,,owned,"2026-06-13 07:27:53.822303","2026-06-29 09:24:05.745518",71
8,008,,owned,"2026-06-13 07:28:54.960180","2026-06-29 09:21:53.853385",125
11,01,,owned,"2026-06-13 07:32:09.224972","2026-06-29 09:22:07.172314",45
12,020,,owned,"2026-06-29 06:47:07.931571","2026-06-29 06:47:07.931596",57
13,021,,owned,"2026-06-29 06:48:02.245235","2026-06-29 06:48:02.245261",37
14,012,,owned,"2026-06-29 06:49:48.058094","2026-06-29 09:00:54.812139",203
15,015,,owned,"2026-06-29 06:50:20.410345","2026-06-29 06:50:20.410369",173
16,002B,,owned,"2026-06-29 07:03:34.040807","2026-06-29 07:03:34.040835",21
17,002C,,owned,"2026-06-29 07:04:43.385417","2026-06-29 08:48:53.897202",184
18,003A,,owned,"2026-06-29 07:06:10.033335","2026-06-29 07:06:10.033359",143
19,003B,,owned,"2026-06-29 07:07:04.883270","2026-06-29 08:50:25.040244",189
20,004A,,owned,"2026-06-29 07:08:40.775431","2026-06-29 07:08:40.775458",170
21,004B,,owned,"2026-06-29 07:09:43.134421","2026-06-29 07:09:43.134454",194
22,005,,owned,"2026-06-29 07:10:22.759550","2026-06-29 07:10:22.759580",168
23,006,,owned,"2026-06-29 07:11:45.186881","2026-06-29 07:11:45.186905",77
24,009,,owned,"2026-06-29 07:13:17.444724","2026-06-29 07:13:17.444753",197
25,010,,owned,"2026-06-29 07:15:06.989262","2026-06-29 08:53:18.877296",119
26,016,,owned,"2026-06-29 07:17:20.955723","2026-06-29 09:04:22.838422",115
27,011,,owned,"2026-06-29 08:59:44.012929","2026-06-29 08:59:44.012957",241
28,017,,owned,"2026-06-29 09:05:55.325649","2026-06-29 09:05:55.325707",116
29,018,,owned,"2026-06-29 09:07:25.079319","2026-06-29 09:25:33.277362",154
30,019,,owned,"2026-06-29 09:08:49.204026","2026-06-29 09:08:49.204051",167
31,022,,owned,"2026-06-29 09:10:49.808712","2026-06-29 09:10:49.808736",91
32,024,,owned,"2026-06-29 09:12:22.201465","2026-06-29 09:12:22.201491",84
33,025,,owned,"2026-06-29 09:13:25.395349","2026-06-29 09:13:25.395376",70
34,027,,owned,"2026-06-29 09:13:59.238620","2026-06-29 09:13:59.238645",126
35,028,,owned,"2026-06-29 09:14:34.691969","2026-06-29 09:14:34.692042",125
36,029,,owned,"2026-06-29 09:15:06.793570","2026-06-29 09:15:06.793598",71
37,031,,owned,"2026-06-29 09:15:45.172533","2026-06-29 09:15:45.172584",222
38,032,,owned,"2026-06-29 09:16:35.182741","2026-06-29 09:16:35.182784",129
39,033,,owned,"2026-06-29 09:17:38.668413","2026-06-29 09:17:38.668439",230
40,034,,owned,"2026-06-29 09:18:12.409487","2026-06-29 09:18:12.409516",180
41,035,,owned,"2026-06-29 09:18:38.433402","2026-06-29 09:18:38.433431",24
42,036,,owned,"2026-06-29 09:39:38.988730","2026-06-29 09:39:38.988759",112
43,037,,owned,"2026-06-29 09:40:00.240122","2026-06-29 09:40:00.240150",133
44,040,,owned,"2026-06-29 09:40:21.614888","2026-06-29 09:40:21.614915",221
45,041,,owned,"2026-06-29 09:40:49.934894","2026-06-29 09:40:49.934919",158
